venue,symbol,open_time,low,close,volume
Binance,BUSDUSDT,1678633200000,0.9934,0.9938,17903143.0
Binance,BUSDUSDT,1678636800000,0.9933,0.9945,27740463.0
Binance,BUSDUSDT,1678640400000,0.9944,0.9951,31799746.0
Binance,BUSDUSDT,1678644000000,0.9944,0.9946,29843938.0
Binance,BUSDUSDT,1678647600000,0.9936,0.994,23538677.0
Binance,BUSDUSDT,1678651200000,0.9936,0.9949,18712633.0
Binance,BUSDUSDT,1678654800000,0.9934,0.995,20974080.0
Binance,BUSDUSDT,1678658400000,0.9939,0.9962,37973289.0
Binance,BUSDUSDT,1678662000000,0.9956,0.9962,42708800.0
Binance,BUSDUSDT,1678665600000,0.9946,0.995,48227223.0
Binance,BUSDUSDT,1678669200000,0.9928,0.9929,51618957.0
Binance,BUSDUSDT,1678672800000,0.9928,0.9948,34206937.0
Binance,BUSDUSDT,1678676400000,0.994,0.9955,31115358.0
Binance,BUSDUSDT,1678680000000,0.9953,0.9962,39877250.0
Binance,BUSDUSDT,1678683600000,0.996,0.9969,18804871.0
Binance,BUSDUSDT,1678687200000,0.9969,0.9973,31259224.0
Binance,BUSDUSDT,1678690800000,0.9964,0.9969,23647107.0
Binance,BUSDUSDT,1678694400000,0.9961,0.9963,30825948.0
Binance,BUSDUSDT,1678698000000,0.9962,0.9972,33377549.0
Binance,BUSDUSDT,1678701600000,0.9967,0.9968,17835127.0
Binance,BUSDUSDT,1678705200000,0.9962,0.9968,22111105.0
Binance,BUSDUSDT,1678708800000,0.9967,0.9974,24393121.0
Binance,BUSDUSDT,1678712400000,0.9968,0.9969,38410309.0
Binance,BUSDUSDT,1678716000000,0.996,0.9963,54641705.0
Binance,BUSDUSDT,1678719600000,0.9954,0.996,61864078.0
Binance,BUSDUSDT,1678723200000,0.9957,0.9964,48642165.0
Binance,BUSDUSDT,1678726800000,0.9963,0.9971,39095760.0
Binance,BUSDUSDT,1678730400000,0.9965,0.9971,27891012.0
Binance,BUSDUSDT,1678734000000,0.9966,0.9971,20517609.0
Binance,BUSDUSDT,1678737600000,0.9953,0.9956,31138341.0
Binance,BUSDUSDT,1678741200000,0.9954,0.996,22508349.0
Binance,BUSDUSDT,1678744800000,0.9959,0.9965,18079029.0
