open_time,low,high,open,close,volume
1678924800,1.00339,1.0042,1.00404,1.00355,2362157.62
1678928400,1.00336,1.00382,1.00355,1.00381,2168124.25
1678932000,1.00323,1.00386,1.0038,1.00347,1720618.31
1678935600,1.00324,1.0035,1.00348,1.00347,2128446.7
1678939200,1.00345,1.0035,1.00347,1.00349,2609491.03
1678942800,1.00327,1.00359,1.0035,1.0035,2400307.94
1678946400,1.00325,1.00357,1.0035,1.00326,2291720.43
1678950000,1.00297,1.00326,1.00325,1.003,4774406.06
1678953600,1.00295,1.00313,1.003,1.00309,7693151.48
1678957200,1.00301,1.00312,1.00309,1.00309,2915233.45
1678960800,1.00299,1.00327,1.00309,1.00325,7700468.74
1678964400,1.00285,1.00326,1.00325,1.00304,2688182.28
1678968000,1.003,1.00328,1.00303,1.00309,3115727.18
1678971600,1.00284,1.00326,1.00308,1.00303,4650859.81
1678975200,1.00242,1.00316,1.00302,1.00253,16616898.39
1678978800,1.00197,1.0026,1.00254,1.00199,17351790.41
1678982400,1.0013,1.002,1.00199,1.0015,18491712.33
1678986000,1.00107,1.00232,1.0015,1.00201,26675141.57
1678989600,1.00201,1.00247,1.00202,1.00203,2985429.28
1678993200,1.00202,1.0034,1.00203,1.00289,4335466.26
1678996800,1.00149,1.0029,1.00289,1.00199,7755664.74
1679000400,1.00189,1.00271,1.00199,1.00215,4866131.07
1679004000,1.00215,1.0028,1.00216,1.00246,5919709.69
1679007600,1.00201,1.0026,1.00247,1.00211,6938615.56
1679011200,1.00207,1.0022,1.00212,1.00219,6604324.84
