symbol,window,timestamp,price
BUSD,calm,1677517264,1.002863976486306
BUSD,calm,1677520877,1.0002487847803534
BUSD,calm,1677524504,1.002
BUSD,calm,1677527878,1.001
BUSD,calm,1677531479,0.999535
BUSD,calm,1677535227,1.000483084801362
BUSD,calm,1677538806,1.0003421389543476
BUSD,calm,1677542400,0.998871268163139
BUSD,calm,1677546037,0.9993010057687778
BUSD,calm,1677549475,1.002
BUSD,calm,1677553222,1.0003869666527632
BUSD,calm,1677556816,1.0001780014906316
BUSD,calm,1677560401,1.0002119421176727
BUSD,calm,1677564053,1.0003680393386079
BUSD,calm,1677567624,1.0003171815178105
BUSD,calm,1677571299,0.9994096365016888
BUSD,calm,1677574818,1.0002667658880169
BUSD,calm,1677578427,1.0008350806006896
BUSD,calm,1677582117,0.9992911651205084
BUSD,calm,1677585625,1.0002288540342992
BUSD,calm,1677589270,1.000452636394839
BUSD,calm,1677592674,1.0
BUSD,calm,1677596488,0.9987796136085182
BUSD,calm,1677600025,1.000551514461772
BUSD,calm,1677603599,0.9999027498107863
BUSD,calm,1677607242,0.9998075444203636
BUSD,calm,1677610852,1.0001991037729512
BUSD,calm,1677614279,1.0
BUSD,calm,1677618071,0.9999283093905069
BUSD,calm,1677621477,0.996685
BUSD,calm,1677625262,0.9986488363378989
BUSD,calm,1677628948,0.99970621260514
BUSD,calm,1677632461,0.9988257601213227
BUSD,calm,1677636055,1.0028225260405554
BUSD,calm,1677639477,1.001
BUSD,calm,1677643278,0.999752837731446
BUSD,calm,1677646802,0.9981885934496442
BUSD,calm,1677650446,1.0001374898034125
BUSD,calm,1677654023,1.0010270829624683
BUSD,calm,1677657670,1.0000497834315456
BUSD,calm,1677661205,1.0009029831794998
BUSD,calm,1677664874,1.0002866097258312
BUSD,calm,1677668467,1.0016786234855664
BUSD,calm,1677672015,1.0008897721240082
BUSD,calm,1677675611,1.0001033998274258
BUSD,calm,1677679331,1.000354195363383
BUSD,calm,1677682681,1.002
BUSD,calm,1677686447,0.9995206666066709
BUSD,calm,1677689875,0.998191
BUSD,calm,1677693692,0.9995944092358157
BUSD,calm,1677697247,1.0003494160434339
BUSD,calm,1677700826,1.006383064682442
BUSD,calm,1677704276,1.001
BUSD,calm,1677708068,1.001383241957438
BUSD,calm,1677711631,0.9987668999975374
BUSD,calm,1677715259,0.9991557879166875
BUSD,calm,1677718842,1.0002989205371138
BUSD,calm,1677722424,0.9994250710371623
BUSD,calm,1677726025,0.9999083337887276
BUSD,calm,1677729621,1.0001452243735958
BUSD,calm,1677733078,1.002
BUSD,calm,1677736677,0.999866
BUSD,calm,1677740424,1.0002862144301055
BUSD,calm,1677743878,0.999953
BUSD,calm,1677747616,1.0001542034695012
BUSD,calm,1677751213,1.0002211204840743
BUSD,calm,1677754853,1.00064540291032
BUSD,calm,1677758507,1.0003383691271586
BUSD,calm,1677762079,1.0000071827654697
BUSD,calm,1677765618,1.0016674951949736
BUSD,calm,1677769236,1.000423589002941
BUSD,calm,1677772827,0.998918420488895
BUSD,calm,1677776423,0.9994172393271902
BUSD,calm,1677780032,1.0004477311273594
BUSD,calm,1677783656,1.0001222143043667
BUSD,calm,1677787202,1.0004170243854404
BUSD,calm,1677790831,1.0014271861154131
BUSD,calm,1677794393,1.0004158041895441
