hour_utc,open,high,low,close,vwap,volume,n_trades
2019-04-30T17:00:00Z,0.9891,0.99,0.9881,0.99,0.9893288852548416,236314.76587831997,227.0
2019-04-30T18:00:00Z,0.99,0.9902,0.9899,0.9902,0.99002642971588,19169.14536522,30.0
2019-04-30T19:00:00Z,0.9901,0.9906,0.99,0.9902,0.990154177390043,158777.02282925,74.0
2019-04-30T20:00:00Z,0.9902,0.9905,0.988,0.9885,0.989409022067574,292806.88102236995,165.0
2019-04-30T21:00:00Z,0.9882,0.9894,0.988,0.9889,0.9889860387309622,7939.784825879999,30.0
2019-04-30T22:00:00Z,0.989,0.9901,0.9883,0.9901,0.9890070547483233,550446.11976674,294.0
2019-04-30T23:00:00Z,0.9901,0.9904,0.989,0.9896,0.9896920058030758,34913.57854242001,61.0
2019-05-01T00:00:00Z,0.9898,0.9939,0.9898,0.9933,0.99274996747758,192470.85127062,120.0
2019-05-01T01:00:00Z,0.9933,0.9942,0.9933,0.994,0.9939972884100603,24323.125916530003,35.0
2019-05-01T02:00:00Z,0.994,0.994,0.9926,0.9926,0.9935582923299633,31963.579184049995,36.0
2019-05-01T03:00:00Z,0.993,0.9947,0.993,0.9947,0.9944443045118997,94919.12497979999,47.0
2019-05-01T04:00:00Z,0.9945,0.9945,0.9936,0.9936,0.9938122280319953,12533.19704509,36.0
2019-05-01T05:00:00Z,0.9941,0.995,0.9936,0.995,0.9948861719047852,232156.59717085998,54.0
2019-05-01T06:00:00Z,0.9946,0.9946,0.9929,0.9933,0.9940574137633809,16492.96880565,48.0
2019-05-01T07:00:00Z,0.9933,0.9933,0.992,0.9927,0.9925968897701881,237584.97863103,72.0
2019-05-01T08:00:00Z,0.9927,0.9929,0.99,0.9907,0.9904354907202557,317511.56405614,103.0
2019-05-01T09:00:00Z,0.9907,0.992,0.9895,0.9907,0.9912918177718486,248664.36323075,55.0
2019-05-01T10:00:00Z,0.9911,0.9911,0.9901,0.9905,0.9904239868299559,60186.97848644,24.0
2019-05-01T11:00:00Z,0.9906,0.9906,0.99,0.9901,0.9901885422077854,1651.2292540300002,7.0
2019-05-01T12:00:00Z,0.9905,0.9909,0.9895,0.9895,0.9898976002153195,1136789.02120751,52.0
2019-05-01T13:00:00Z,0.989,0.9894,0.989,0.989,0.9890815817599586,47784.30460479,32.0
2019-05-01T14:00:00Z,0.9886,0.9899,0.9885,0.9886,0.9893202077433444,69523.42813339998,46.0
2019-05-01T15:00:00Z,0.9886,0.9896,0.9886,0.9886,0.9892866374266511,132039.45544536004,101.0
2019-05-01T16:00:00Z,0.9886,0.989,0.9883,0.9883,0.9886386602544451,61205.2190804,40.0
2019-05-01T17:00:00Z,0.9884,0.9899,0.988,0.9899,0.9892091042822899,63929.48343214,156.0
2019-05-01T18:00:00Z,0.9899,0.9905,0.9893,0.9893,0.9898809438554372,17736.645551469996,35.0
2019-05-01T19:00:00Z,0.9895,0.9895,0.9879,0.9879,0.9881406311823477,34642.65972856,48.0
2019-05-01T20:00:00Z,0.9873,0.9873,0.9867,0.9873,0.987051717342681,403342.50271410996,20.0
2019-05-01T21:00:00Z,0.9872,0.9872,0.9868,0.9869,0.9868100434757103,9455.32345721,13.0
2019-05-01T22:00:00Z,0.9869,0.9885,0.986,0.9866,0.9863042733479732,234061.65720200006,37.0
2019-05-01T23:00:00Z,0.9863,0.9865,0.9856,0.9865,0.9862110880119833,20604.43229449,36.0
2019-05-02T00:00:00Z,0.9865,0.989,0.9865,0.9888,0.9882665862571685,85653.71833732,84.0
2019-05-02T01:00:00Z,0.9886,0.9893,0.9886,0.9887,0.9889764090645388,5170.66511231,16.0
2019-05-02T02:00:00Z,0.9887,0.9887,0.9887,0.9887,0.9886999999999998,37.82876927,5.0
2019-05-02T03:00:00Z,0.9892,0.9895,0.9888,0.9895,0.9894651450365867,7679.3309957500005,12.0
2019-05-02T04:00:00Z,0.9891,0.9891,0.9891,0.9891,0.9890999999999999,38.938467700000004,6.0
2019-05-02T05:00:00Z,0.9891,0.9895,0.989,0.989,0.9893308707822155,7158.52669125,26.0
2019-05-02T06:00:00Z,0.989,0.989,0.9879,0.9879,0.9883572753534444,10675.963386480002,32.0
2019-05-02T07:00:00Z,0.9882,0.9882,0.987,0.9879,0.987586330789771,31774.649446839998,58.0
2019-05-02T08:00:00Z,0.9876,0.9881,0.9876,0.9876,0.9878926266283246,14460.05876152,32.0
2019-05-02T09:00:00Z,0.987,0.987,0.9865,0.9865,0.9868568153410826,129644.55003727,56.0
2019-05-02T10:00:00Z,0.9865,0.9871,0.9865,0.9868,0.9865225924109161,83592.83235159,43.0
2019-05-02T11:00:00Z,0.9864,0.9881,0.9863,0.9863,0.9874705017005633,123647.73815978001,58.0
2019-05-02T12:00:00Z,0.9863,0.9864,0.9855,0.9855,0.9858909797204797,160219.42877618998,118.0
2019-05-02T13:00:00Z,0.9855,0.9855,0.9845,0.9845,0.9850933761136859,289170.66877060005,151.0
2019-05-02T14:00:00Z,0.9845,0.9845,0.981,0.981,0.9819891677254533,291188.38674031,204.0
2019-05-02T15:00:00Z,0.981,0.9812,0.98,0.98,0.9803205304396818,287339.97872617,250.0
2019-05-02T16:00:00Z,0.98,0.9809,0.98,0.9805,0.9800911372718073,61018.01301545,99.0
2019-05-02T17:00:00Z,0.9805,0.9812,0.9805,0.9805,0.9807294849812772,78365.03711368,36.0
2019-05-02T18:00:00Z,0.9806,0.9819,0.9806,0.9819,0.9809794967892616,33455.73087112,34.0
2019-05-02T19:00:00Z,0.9814,0.9814,0.98,0.9807,0.9804451800462308,658891.48974219,96.0
2019-05-02T20:00:00Z,0.9807,0.9807,0.9805,0.9805,0.9806268391278746,118330.99337345,18.0
2019-05-02T21:00:00Z,0.9808,0.9819,0.9808,0.9813,0.9814098840020665,14211.72112728,50.0
2019-05-02T22:00:00Z,0.9813,0.9834,0.9813,0.9832,0.9822673626995042,14354.943502900001,45.0
2019-05-02T23:00:00Z,0.9832,0.9832,0.9807,0.9807,0.981242345123525,19596.287094799998,78.0
2019-05-03T00:00:00Z,0.9811,0.9813,0.979,0.979,0.9799059015569087,455611.26191669004,107.0
2019-05-03T01:00:00Z,0.979,0.979,0.9784,0.9784,0.9787933443420774,248600.48066411,45.0
2019-05-03T02:00:00Z,0.9784,0.9797,0.9778,0.9797,0.9782180735266786,185457.74125187003,44.0
2019-05-03T03:00:00Z,0.9787,0.9808,0.9787,0.9803,0.9796975269999522,53129.65061366,49.0
2019-05-03T04:00:00Z,0.98,0.9817,0.9798,0.9813,0.980989685862866,7290.86924315,54.0
2019-05-03T05:00:00Z,0.9812,0.9824,0.9806,0.9816,0.9811970437653482,44156.01355238,56.0
2019-05-03T06:00:00Z,0.9817,0.9823,0.9801,0.982,0.9814523443729593,196483.04463085002,251.0
2019-05-03T07:00:00Z,0.982,0.9834,0.9818,0.9818,0.9822356338880891,27266.959109960004,69.0
2019-05-03T08:00:00Z,0.9818,0.9865,0.9818,0.9844,0.9837861882451383,249978.95604893,267.0
2019-05-03T09:00:00Z,0.9844,0.994,0.9842,0.9907,0.9899564904628174,875400.66748315,770.0
2019-05-03T10:00:00Z,0.9907,0.9916,0.9876,0.9895,0.9902422655274237,412276.81967261,335.0
2019-05-03T11:00:00Z,0.9895,0.9913,0.9894,0.991,0.9902262631887231,113656.15298102,176.0
2019-05-03T12:00:00Z,0.9901,0.991,0.9898,0.9909,0.9904063057269077,47923.88111781999,92.0
2019-05-03T13:00:00Z,0.9906,0.9906,0.989,0.989,0.9894506281363658,267443.31776124996,314.0
2019-05-03T14:00:00Z,0.989,0.989,0.9867,0.9867,0.9880346730059009,164879.3174567,188.0
2019-05-03T15:00:00Z,0.9867,0.988,0.9859,0.9861,0.9862644133523079,84329.39533321,114.0
2019-05-03T16:00:00Z,0.9861,0.9878,0.9858,0.987,0.9869759742645289,66801.87629875001,63.0
2019-05-03T17:00:00Z,0.9871,0.9871,0.983,0.986,0.9848599403671736,250390.02126706,199.0
2019-05-03T18:00:00Z,0.9853,0.987,0.9853,0.9859,0.9858443879089965,112914.76257177003,111.0
2019-05-03T19:00:00Z,0.9865,0.9867,0.9847,0.9853,0.9850730789731615,59507.71188224,86.0
2019-05-03T20:00:00Z,0.9848,0.9856,0.9845,0.9845,0.9845612300170774,36672.025578550005,69.0
2019-05-03T21:00:00Z,0.9845,0.9854,0.9831,0.9834,0.9839642521261612,163757.72332726003,82.0
2019-05-03T22:00:00Z,0.9838,0.9854,0.9833,0.9842,0.9844455406061965,70894.12357736999,61.0
2019-05-03T23:00:00Z,0.9842,0.9842,0.983,0.983,0.9836023274310965,109010.23362249999,119.0
2019-05-04T00:00:00Z,0.983,0.9852,0.982,0.9828,0.9826520793436493,206149.18208182004,197.0
